idx,block,feePpm,sumSq
822,7426045349358816311,1055,364323144
823,7426045349358816311,1055,364323144
824,7426045349358816311,1055,364323144
825,7426045349358816311,1055,364323873
826,7426045349358816311,1055,364330762
827,7426045349358816311,1055,364340762
828,7426045349358816311,1055,364374251
829,7426045349358816311,1055,364403492
830,7426045349358816311,1055,364443492
831,7426045349358816311,1055,364443492
832,7426045349358816311,1055,364453096
833,7426045349358816311,1055,364463705
834,7426045349358816311,1055,364469946
835,7426045349358816311,1055,364481610
836,7426045349358816311,1055,364491811
837,7426045349358816311,1055,364491811
838,7426045349358816311,1055,364491811
839,7426045349358816311,1055,364491811
840,7426045349358816311,1055,364491811
841,7426045349358816311,1155,364649420
842,7426045349358816311,1155,364778301
843,7426045349358816311,13155,369578782
844,7426045349358816311,1055,369585023
845,7426045349358816311,1055,369585023
846,7426045349358816311,1055,369600152
847,7426045349358816311,1055,369640956
848,7426045349358816311,1055,369646140
849,7426045349358816311,1055,369649740
850,7426045349358816311,1155,369728140
851,7426045349358816311,1055,369728464
852,7426045349358816311,1055,369735188
853,7426045349358816311,1055,369765813
854,7426045349358816311,1455,369937209
855,7426045349358816311,1055,369950205
856,7426045349358816311,1055,369952909
857,7426045349358816311,1055,369952909
858,7426045349358816311,1055,369952958
859,7426045349358816311,1055,369954183
860,7426045349358816311,1055,369954667
861,7426045349358816311,1055,369966767
862,7426045349358816311,1055,369980928
863,7426045349358816311,1055,370017028
864,7426045349358816311,1055,370043924
865,7426045349358816311,1055,370048965
866,7426045349358816311,1055,370053454
867,7426045349358816311,1055,370075655
868,7426045349358816311,1055,370076331
869,7426045349358816311,1055,370117135
870,7426045349358816311,1055,370150991
871,7426045349358816311,1055,370153107
872,7426045349358816311,1055,370159996
873,7426045349358816311,1055,370181605
874,7426045349358816311,1055,370183049
875,7426045349358816311,1055,370190274
876,7426045349358816311,1055,370208499
877,7426045349358816311,1055,370211635
878,7426045349358816311,1055,370211635
879,7426045349358816311,1055,370211635
880,7426045349358816311,1055,370211635
881,7426045349358816311,1055,370211635
882,7426045349358816311,1055,370211635
883,7426045349358816311,1055,370211635
884,7426045349358816311,1055,370211635
885,7426045349358816311,1155,370337660
886,7426045349358816311,1455,370535685
887,7426045349358816311,1055,370549846
888,7426045349358816311,1055,370552655
889,7426045349358816311,1155,370607880
890,7426045349358816311,1155,370703980
891,7426045349358816311,1155,370852205
892,7426045349358816311,1155,370907901
893,7426045349358816311,1455,371233942
894,7426045349358816311,1055,371233991
895,7426045349358816311,1055,371233991
896,7426045349358816311,1055,371236800
897,7426045349358816311,1055,371255844
898,7426045349358816311,1055,371255844
899,7426045349358816311,1055,371255844
900,7426045349358816311,1055,371256100
901,7426045349358816311,1055,371256101
902,7426045349358816311,1055,371256101
903,7426045349358816311,1055,371256101
904,7426045349358816311,1055,371256101
905,7426045349358816311,1055,371256102
906,7426045349358816311,1055,371294518
907,7426045349358816311,1055,371298239
908,7426045349358816311,1055,371298239
909,7426045349358816311,1055,371298255
910,7426045349358816311,1055,371298259
911,7426045349358816311,1055,371321363
912,7426045349358816311,1055,371331363
913,7426045349358816311,1055,371331363
914,7426045349358816311,1055,371367844
915,7426045349358816311,1055,371367845
916,7426045349358816311,1055,371367846
917,7426045349358816311,1155,371441830
918,7426045349358816311,1055,371441831
919,7426045349358816311,1055,371444856
920,7426045349358816311,1055,371466760
921,7426045349358816311,1055,371510860
922,7426045349358816311,1055,371512304
923,7426045349358816311,1055,371512304
924,7426045349358816311,1055,371541888
925,7426045349358816311,1155,371588113
926,7426045349358816311,1055,371591138
927,7426045349358816311,1955,372118214
928,7426045349358816311,1055,372146103
929,7426045349358816311,1055,372161728
930,7426045349358816311,1055,372179953
931,7426045349358816311,1055,372183797
932,7426045349358816311,1155,372242846
